number,loss,texel_scale,error_count
409,0.8837334456938869,991.0312904818842,0
410,0.8532217368226083,1139.2988291929141,0
411,0.8489828329045839,1149.7600238424131,0
412,0.8623709808848157,1079.4786287586344,0
413,0.8729447669785723,1027.618953389504,0
414,0.9048859816325391,905.2461262508452,0
415,0.8611048527950285,1089.7021102686326,0
416,0.8575503248962105,1119.1599473464626,0
417,0.8523576981110579,1142.8083478358426,0
418,0.8408693427662512,1194.64367548683,0
419,0.8579856453972395,1093.976334022776,0
420,0.8424531826432535,1181.8638606541845,0
421,0.8425330868213294,1191.1568672534163,0
422,0.8516876393715582,1145.3892202099207,0
423,0.8449112464175328,1166.6785757538241,0
424,0.8508357312811894,1126.3466818453744,0
425,0.8941605114502321,941.8214140572554,0
426,0.8642643822838806,1070.859260930345,0
427,0.8494066449114843,1135.9527731012688,0
428,0.8747111696787979,1023.7091745222035,0
429,0.8421020035428469,1191.8819757469646,0
430,0.853395321943152,1117.2467875231673,0
431,0.9091915717267459,904.8168758654006,0
432,0.8564581331534893,1106.5019754666935,0
433,0.866501771411434,1067.599636317485,0
434,0.8566935394225269,1117.4686866439215,0
435,0.8699478643701775,1031.7689981923818,0
436,0.855608892379496,1108.0694903025164,0
437,0.846754483795131,1162.708272616019,0
438,0.8609777545099864,1078.9324710141932,0
439,0.8514297090006507,1131.1324635035894,0
440,0.8475042399976003,1157.584646063587,0
441,0.858215020021872,1098.7997550905704,0
442,0.8573179560760933,1106.296479133261,0
443,0.8672470022353117,1060.9543251338798,0
444,0.8417380661505893,1197.5108243316704,0
445,0.84130031112646,1192.077265756735,0
446,0.8577924589063292,1104.361638359498,0
447,0.8482093115253005,1165.493583961933,0
448,0.8409425716478983,1195.184829660353,0
449,0.845187322310009,1160.7602250259088,0
450,0.8426835366078325,1183.625266166732,0
451,0.8490475396640972,1150.3387950495223,0
452,0.845597730888601,1179.7942223936566,0
453,0.868208432560835,1041.135510316486,0
454,0.8494328239505998,1133.4741806264763,0
455,0.8418383520374046,1192.00394588697,0
456,0.8660450818496959,1054.88068641635,0
457,0.8488748258380268,1144.416290174639,0
458,0.8506176762493814,1140.1599734253243,0
459,0.8646386685360431,1072.2213986898334,0
460,0.8609285542926486,1085.3598169687423,0
461,0.8480115263378942,1161.1981948428759,0
462,0.8444336764457634,1178.0075704494166,0
463,0.842106905426688,1183.4122124388537,0
464,0.853674391328727,1110.8483031605776,0
465,0.8464623117161075,1164.7981408745982,0
466,0.85136714063771,1132.6868706090122,0
467,0.8457276492265856,1177.8963686208276,0
468,0.8486202914959917,1170.865173286591,0
469,0.8529885583852183,1125.3462436016919,0
470,0.8613018861121462,1079.9879309708435,0
471,0.8460253749417413,1166.1090083327365,0
472,0.8408837054995881,1173.9363536710462,0
473,0.8557169325840746,1122.5059162186953,0
474,0.8684501936555485,1052.1431899825134,0
475,0.8436291696376431,1188.253418737847,0
476,0.8595211678845351,1090.3528598354806,0
477,0.8468123232942896,1171.7833997792538,0
478,0.8494833523098665,1145.2168718031762,0
479,0.8735497341805555,1024.590455785377,0
480,0.852614454702347,1120.827835173547,0
481,0.8541707474365129,1122.0190079983813,0
482,0.846528292171478,1169.5502350851712,0
483,0.8402933734819787,1198.3032778610486,0
